City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
94,arraial do cabo,BR,2021-09-13 05:23:48,-22.9661,-42.0278,70.43,94,1,10.6
95,lavrentiya,RU,2021-09-13 05:23:48,65.5833,-171.0,39.02,92,100,13.53
96,dunedin,NZ,2021-09-13 05:19:38,-45.8742,170.5036,53.8,50,82,17.0
97,shihezi,CN,2021-09-13 05:23:48,44.3,86.0333,79.93,20,4,7.27
98,ponta do sol,PT,2021-09-13 05:23:49,32.6667,-17.1,73.0,85,85,13.67
99,baykit,RU,2021-09-13 05:23:49,61.67,96.37,51.57,73,97,11.34
100,bonavista,CA,2021-09-13 05:23:49,48.6499,-53.1147,58.12,87,78,21.47
101,praia,CV,2021-09-13 05:23:50,14.9215,-23.5087,79.34,89,20,6.91
102,houston,US,2021-09-13 05:22:42,29.7633,-95.3633,80.74,82,75,7.0
103,korem,ET,2021-09-13 05:23:50,12.5058,39.5228,64.06,52,11,2.66
104,toshkivka,UA,2021-09-13 05:23:50,48.7791,38.579,65.59,46,62,4.07
105,nikolskoye,RU,2021-09-13 05:23:51,59.7035,30.7861,60.69,96,100,7.31
106,tuktoyaktuk,CA,2021-09-13 05:23:51,69.4541,-133.0374,42.8,100,90,8.05
107,severo-kurilsk,RU,2021-09-13 05:23:51,50.6789,156.125,49.33,97,100,28.83
108,inirida,CO,2021-09-13 05:23:51,3.8653,-67.9239,74.7,95,48,1.99
109,leshukonskoye,RU,2021-09-13 05:23:52,64.8989,45.7622,40.64,80,23,3.69
110,kapaa,US,2021-09-13 05:23:52,22.0752,-159.319,82.38,76,75,1.01
111,saint-pierre,RE,2021-09-13 05:23:53,-21.3393,55.4781,76.68,63,0,13.8
112,kruisfontein,ZA,2021-09-13 05:23:53,-34.0033,24.7314,55.89,94,100,9.42
113,wasilla,US,2021-09-13 05:23:53,61.5814,-149.4394,55.27,87,90,4.61
114,pedasi,PA,2021-09-13 05:23:07,7.5333,-80.0333,76.8,85,83,2.84
115,benalla,AU,2021-09-13 05:23:54,-36.55,145.9833,60.98,43,12,4.99
116,kununurra,AU,2021-09-13 05:23:54,-15.7667,128.7333,98.58,22,12,10.36
117,cidreira,BR,2021-09-13 05:23:54,-30.1811,-50.2056,65.28,92,68,13.82
118,tilichiki,RU,2021-09-13 05:23:54,60.4667,166.1,48.15,43,31,8.46
119,muravlenko,RU,2021-09-13 05:23:55,63.7898,74.523,46.71,74,99,7.14
120,bath,GB,2021-09-13 05:23:37,51.3779,-2.3591,60.42,89,100,7.7
121,tezu,IN,2021-09-13 05:19:11,27.9167,96.1667,95.2,46,39,3.89
122,lamar,US,2021-09-13 05:23:55,33.6668,-95.5836,73.53,68,1,6.91
123,acapulco,MX,2021-09-13 05:23:56,16.8634,-99.8901,75.4,97,100,4.18
124,new norfolk,AU,2021-09-13 05:23:56,-42.7826,147.0587,49.5,56,93,1.99
125,areka,ET,2021-09-13 05:23:56,7.0667,37.7,62.26,84,95,3.58
126,waipawa,NZ,2021-09-13 05:23:07,-41.4122,175.5153,54.45,86,92,24.79
127,englewood,US,2021-09-13 05:22:57,39.6478,-104.9878,71.24,58,40,5.75
128,alofi,NU,2021-09-13 05:20:48,-19.0595,-169.9187,76.89,83,75,8.05
